record,enterprise,metro,tract_pct_minority,tract_income_ratio,borrower_income_ratio,ltv,loan_purpose,fed_guarantee,borrower_race,borrower_gender,coborrower_race,coborrower gender,units,affordability
784713,1,1,3,1,3,3,8,4,9,9,3,4,1,4
1558243,1,0,3,1,2,2,1,4,5,9,2,4,1,1
1326917,1,1,3,1,3,4,1,4,7,7,1,2,1,4
1702632,1,1,3,2,2,1,8,4,5,9,1,4,1,4
487432,1,1,3,2,3,2,8,4,7,9,1,4,1,4
399686,1,1,2,2,2,2,8,4,7,9,1,4,1,4
1086771,1,0,2,2,3,5,1,4,5,5,1,2,1,4
1165660,1,1,1,2,2,2,8,4,5,5,1,2,1,4
1473760,1,1,1,3,3,2,1,4,5,5,1,2,1,4
613242,1,1,1,3,3,2,8,4,5,5,1,2,1,4
778158,1,1,3,3,3,3,1,4,6,2,1,2,1,4
1507894,1,1,1,2,2,1,1,4,5,9,2,4,1,4
1665039,1,0,1,2,2,4,1,4,5,9,2,4,1,4
1017352,1,1,2,3,3,2,8,4,5,5,1,2,1,4
1143750,1,1,3,3,2,1,8,4,5,9,2,4,1,4
1031049,1,1,2,3,3,2,1,4,5,5,1,2,1,4
1727322,1,0,1,2,2,2,1,4,5,5,2,2,1,4
749545,1,1,2,2,3,1,1,4,5,5,2,1,1,4
1460272,1,1,1,3,3,2,8,4,5,7,2,1,1,4
118367,1,1,2,1,1,2,8,4,3,9,1,4,1,2
587946,1,1,3,3,3,1,1,4,5,9,1,4,1,4
208229,1,1,1,2,2,2,8,4,5,9,2,4,1,4
1196076,1,1,2,3,3,4,1,4,5,9,2,4,1,4
349368,1,1,3,2,3,2,1,4,2,9,1,4,1,4
1218696,1,1,3,2,3,2,8,4,5,5,1,2,1,4
470309,1,0,1,3,3,2,8,4,5,9,1,4,1,4
1439035,1,1,1,3,3,5,1,4,5,5,1,2,1,4
465045,1,1,2,3,3,2,1,4,5,5,1,2,1,4
926586,1,1,3,3,3,2,8,4,5,9,1,2,1,4
912510,1,1,1,3,3,1,8,4,5,9,2,4,1,4
